Símbolo,Fecha entrada,Precio entrada,Tamaño,Fee entrada (€),Fecha salida,Precio salida,Fee salida (€),PnL bruto (€),PnL neto (€)
ADAUSDT,2019-03-09 16:00:00,0.04612,13723.975,0.0,2019-04-08 12:00:00,0.08231,0.45,496.67,496.22
ADAUSDT,2019-11-04 20:00:00,0.04274,15895.539,0.0,2019-11-08 08:00:00,0.0428,0.27,0.95,0.68
ADAUSDT,2020-05-28 16:00:00,0.05875,11567.326,0.0,2020-06-10 04:00:00,0.08109,0.38,258.41,258.04
ADAUSDT,2020-06-22 20:00:00,0.08191,8593.126,0.0,2020-06-24 16:00:00,0.08079,0.28,-9.62,-9.9
ADAUSDT,2020-10-19 16:00:00,0.10892,6450.562,0.0,2020-10-20 08:00:00,0.1055,0.27,-22.06,-22.33
ADAUSDT,2021-06-03 16:00:00,1.82,513.348,0.0,2021-06-04 08:00:00,1.659,0.34,-82.65,-82.99
ADAUSDT,2022-08-08 04:00:00,0.5328,1734.164,0.0,2022-08-09 12:00:00,0.5174,0.36,-26.71,-27.07
ADAUSDT,2023-04-11 04:00:00,0.4004,2299.837,0.0,2023-04-19 12:00:00,0.4195,0.39,43.93,43.54
ADAUSDT,2023-07-30 12:00:00,0.3144,2944.723,0.0,2023-07-30 20:00:00,0.3091,0.36,-15.61,-15.97
ADAUSDT,2024-09-24 00:00:00,0.3636,2541.008,0.0,2024-09-30 12:00:00,0.3853,0.39,55.14,54.75
ADAUSDT,2025-09-12 08:00:00,0.8995,1034.968,0.0,2025-09-15 08:00:00,0.8778,0.36,-22.46,-22.82
